listing_id,room_type,accomodates,min_date,max_date,timedelta (days),timedelta > 3 months,timedelta = 0,št. reviewev v zadnjih 12 mesecih,"število mesecev, v katerem so prejeli review",latitude,longitude,reviews,overall_satisfaction,price
21514641,Entire home/apt,2,2017-11-02,2018-11-03,366,TRUE,FALSE,74,12,46.0518,14.508868,42,5,60
21520743,Private room,4,,,0,FALSE,TRUE,0,0,46.078158,14.506868,4,4.5,36
21526057,Entire home/apt,3,2018-07-09,2018-11-05,119,TRUE,FALSE,14,5,46.061476,14.52877,0,\N,63
21536302,Private room,2,,,0,FALSE,TRUE,0,0,46.065028,14.492513,11,5,36
21542434,Private room,3,,,0,FALSE,TRUE,0,0,46.079435,14.506776,1,\N,24
21543710,Entire home/apt,4,2017-11-12,2018-09-02,294,TRUE,FALSE,33,10,46.049825,14.545814,27,5,61
21563977,Entire home/apt,6,2017-11-19,2018-12-02,378,TRUE,FALSE,42,11,46.047709,14.49967,26,4.5,91
21615931,Entire home/apt,4,2018-06-05,2018-10-29,146,TRUE,FALSE,4,3,46.049359,14.503403,1,\N,95
21618823,Entire home/apt,4,2017-12-08,2018-11-17,344,TRUE,FALSE,35,12,46.048315,14.492876,27,4.5,60
21620259,Entire home/apt,2,2018-05-20,2018-08-12,84,FALSE,FALSE,4,3,46.085644,14.512683,1,\N,70
21623364,Entire home/apt,12,2018-03-25,2018-11-04,224,TRUE,FALSE,6,6,46.059087,14.521905,2,\N,242
21645075,Private room,2,2017-11-08,2018-11-03,360,TRUE,FALSE,22,9,46.05808,14.522007,15,4.5,28
21646604,Private room,2,,,0,FALSE,TRUE,0,0,46.045655,14.469803,8,5,33
21664444,Entire home/apt,2,2018-01-01,2018-07-30,210,TRUE,FALSE,2,2,46.040777,14.476881,1,\N,84
